# Data from the intermediate resolution GMT shoreline, borders, and rivers database
NaN NaN
28.0108	70.0672
27.9025	70.0889
27.5734	70.0689
27.5383	70.0352
27.3508	70
NaN NaN
27.9281	70.0883
27.9934	70
NaN NaN
191.024	71.9831
191.025	70
NaN NaN
15	66.1492
14.505	66.1325
14.6347	65.827
14.535	65.7028
14.5006	65.5859
14.493	65.3136
14.3689	65.2467
14.268	65.0716
14.1588	65
NaN NaN
20	68.5649
19.9564	68.5439
20	68.5333
NaN NaN
20	68.3704
19.9377	68.3375
18.9522	68.4878
18.612	68.4752
18.3581	68.5392
18.097	68.5086
18.0459	68.4095
18.1553	68.1661
17.8842	67.9455
17.5925	68.0298
17.2736	68.0906
17.1883	68.0303
16.7269	67.8991
16.5769	67.6655
16.5084	67.6091
16.3825	67.5155
16.1922	67.5
16.0858	67.4117
16.3614	67.2378
16.4058	67.1633
16.3539	67.0178
16.01	66.8908
15.6258	66.6059
15.3628	66.48
15.4681	66.2839
15.0253	66.15
15	66.1492
NaN NaN
20.5861	69.0575
20.097	69.0422
20.3147	68.9284
20.3503	68.7867
20.2025	68.6622
20	68.5649
NaN NaN
20	68.5333
20.2111	68.4822
20	68.3704
NaN NaN
25	68.6106
24.9453	68.5978
24.9086	68.558
24.7544	68.6603
24.6289	68.6872
24.3514	68.7105
24.1967	68.7517
24.0555	68.8206
23.9764	68.8325
23.83	68.83
23.6928	68.7122
23.4672	68.6917
23.225	68.6297
23.1647	68.6375
23.0639	68.6956
22.8028	68.6914
22.55	68.7378
22.3983	68.7111
22.3467	68.8447
21.6819	69.2847
21.3208	69.3261
21.0325	69.2131
21.0536	69.1405
21.1131	69.108
21.0594	69.0344
20.7383	69.0964
20.5817	69.0594
20.8666	69.005
20.9389	68.9583
20.8889	68.9258
20.8952	68.8936
21.0814	68.8666
21.2167	68.8161
21.302	68.7556
21.4067	68.7436
21.4656	68.678
21.623	68.6494
21.7575	68.5769
21.8972	68.57
22.0506	68.4791
22.1675	68.4644
22.3347	68.4728
22.3786	68.4483
22.4469	68.4505
22.6281	68.4153
22.6739	68.4208
22.7589	68.3836
22.8236	68.388
22.8997	68.3317
23.0669	68.2864
23.1422	68.23
23.1514	68.1228
23.1817	68.1175
23.2628	68.1439
23.3072	68.1392
23.3944	68.0425
23.6661	67.9416
23.6447	67.913
23.5111	67.8836
23.4833	67.8631
23.4808	67.7266
23.5536	67.5875
