%	
120.8	57.2
116	55.5
%	
116	56.6
110	53.7
%	
112.3	56.3
109	54
%	
109	54
105	51.8
%	
105	51.8
99.5	51.8
%	
105	51.8
99.5	51.8
%	
100.5	51.8
100	49.5
%	
99.3	51.8
99	49.5
%	
98.5	51.8
98	49.5
%	
93	49.5
99.2	49.3
%	
96	48
102	45.5
%	
99	46
102.5	48
%	
94.5	45
102.3	44.4
%	
91	50.5
94.5	45
%	
91	50.5
94.5	45
%	
84.5	50
93	45
%	
84.5	50
93	45
%	
84	50.5
92	52
%	
92	52
96.5	51
%	
95	43.5
90	43.7
%	
90	43.7
85	43.3
%	
85	43.3
79	42.2
%	
79	42.2
75	41
%	
75	42.1
72	42.1
%	
71.4	42.2
73.3	41.5
74.7	40.6
%	
70	40.5
72	42
%	
83.6	44.2
80.1	46.5
%	
78.5	44.3
81.8	45.3
%	
81.3	47.6
86	47
%	
68.8	43.5
70.35	42.9
72	41.95
%	
74.2	40.8
75.7	39.95
%	
70	40
74	40.4
%	
70	39
74.5	39.5
%	
75.1	39.4
77.5	37
%	
74.2	39.3
75.2	38.2
%	
75.2	38.1
75.5	36.9
76.5	36
%	
77.5	37
80.4	36.5
%	
75.4	37.6
77	36.4
80.1	35.9
81	35.8
82	36
%	
82	36
92.5	39.1
%	
92.5	39.1
96	39.9
%	
96	39.9
96.9	40
%	
92.7	39.2
96	39.5
%	
86	37.5
88.3	38.8
92.4	39.2
%	
92.4	39.2
97.5	40
%	
78	34.2
81	34.6
%	
81	34.6
82	36
%	
81.6	34.5
83	32.7
%	
84.2	35.3
85.5	32.5
%	
84.2	35.3
85.5	32.5
%	
85.4	35.9
86.7	33.8
%	
85.5	35.5
87	32.1
%	
87.5	32.2
88.8	33.6
%	
87.5	34.2
88.8	33.6
%	
90.5	31.5
92	32.3
%	
76.5	36
78.1	34.2
79.9	32.2
80.4	31.1
%	
80.6	32.8
82.4	32
%	
82.1	32.5
83.8	32
%	
87	31.7
88.7	30.8
%	
90.8	31.4
91.6	31
%	
92.4	30.7
95.5	29.9
%	
79.7	32.4
80.5	31.3
%	
82.3	31.1
82.4	32.2
%	
83	30.8
83.4	32.1
%	
83.5	29
85	31.8
%	
86.5	28.4
86.8	31.8
%	
87.5	28.1
88.7	30.9
%	
88.8	27.5
90.2	29.1
%	
90.2	29.1
91.6	31
%	
92	28.6
92.1	29.8
%	
71.5	34.5
67	26
65	25
%	
74.5	35.2
74.6	35.8
%	
71.5	34.5
74	33.8
%	
74	33.8
76	32
77.3	30.4
%	
77.3	30.4
80	28.6
%	
80	28.6
84	27.6
%	
84	27.6
86.9	26.9
%	
86.9	26.9
90	26.9
93.6	27.2
95.7	28.3
%	
90	25.5
93	25.5
%	
97	40
103	37.6
%	
96.6	39.8
101.8	37.8
%	
96	39.6
99	38.5
%	
95.5	39.5
97.7	38.5
%	
95	39.3
96.9	38.1
%	
93	39.1
98	37.2
101	37.2
%	
101	37.2
102.3	36.8
%	
97.6	37
103	36
%	
92	39
97	36.5
101.8	35.5
%	
97.4	39.6
98.2	39.5
%	
91	36
97.8	35.6
102	34
%	
102	34
104	32.2
%	
94	35.7
95.7	35
%	
97.9	38.5
100.1	38.4
%	
100.1	38.4
103	37.1
%	
103	37.1
105	36.7
106	36.1
%	
102.3	37.3
103.5	37.3
%	
103.3	37.5
105.2	37.4
%	
105.2	37.4
106	36.6
%	
106	36.1
106.2	34.7
%	
94.9	33.25
96.1	33.2
99.8	31.6
%	
97.1	34
100.1	31.9
%	
100.1	31.9
101.9	30.2
102.2	29.2
%	
104.3	33.3
102.1	30.8
%	
104.3	33.3
102.1	30.8
%	
102.2	29.2
102.2	28
103.1	26.3
103.1	25.3
%	
102.9	24
103.3	25.3
%	
100	26
102	23.5
103.3	22.9
104.5	22
106	21
%	
101	25.6
103	24
%	
99.5	23.5
101	22
%	
100.5	26.7
100.4	25.2
%	
100.2	27.2
99.9	26.1
%	
97	23.8
99	24.2
%	
97	23
99	23.5
%	
99	23.5
100	24.3
%	
98	21.7
100.1	22.53
%	
98.5	20.8
101	21.8
%	
98	20
101.2	21
%	
98	19
101.2	20
%	
98	18
101.2	19
%	
101	18
103	20.75
103.5	22.5
%	
96.6	16.4
96	20
96.1	24
97.1	28
%	
95	16.5
94.4	24
96.1	27
%	
106	38
106.7	39.5
%	
106	40.2
107.9	41.4
%	
108.8	40.6
112.1	41.2
%	
112.3	39.3
115	40.7
%	
112.3	39
116	40.6
%	
111.5	36.3
113.2	38.3
%	
109	34
111.9	35.8
%	
106	34.3
112	33.4
%	
112	33.4
115.8	30
%	
114.1	35.1
115	38.2
%	
115	38.2
116	38
%	
117	38.6
119	38.2
%	
119	38.2
122.8	41.4
%	
65	25
62	23.8
58	25.1
%	
68	33
66.5	31
66.4	30
66	29.5
65.7	28.4
65.3	28
64.8	27.7
%	
92.8522	14.0567
93.1707	15.0121
93.8076	16.9227
%	
93.8076	16.9227
93.908	17.8877
93.6755	18.8675
93.443	19.8473
93.2105	20.827
92.978	21.8068
92.7455	22.7866
92.8394	23.6907
93.4795	24.468
94.1197	25.2453
94.7598	26.0227
95.4	26.8
%	
117	31
117.6	32
118	33
118.3	34
118.5	35
118.8	36
119.4	37
120	38
120.9	39
121.8	40
%	
123.1	41
124	42
125	43
126	44
127.5	45
129	46
%	
132.5	43
134	45
136	47.5
138	50
139.5	52.5
140.5	53.5
%	
114	21.1
115	21.9
116	22.5
117	23.1
118	23.9
119	24.7
119.8	25.3
%	
121	26.6
122	27.9
123	29.3
%	
117.4	23.9
118	24.4
119.2	25.3
%	
115.3	22.9
116	23.2
117	24
117.9	24.9
119	25.5
120.5	26.8
%	
117	24
118	25.3
119	26.4
120	27.2
121	28.4
121.8	30
%	
114.8	23
116	24
117	25
118.5	26.3
%	
119.3	27.3
121	28.7
%	
117	25.7
118.3	27
119.3	28
%	
115.4	25
116.1	26
117.8	27
119.2	28
%	
117	26.7
118.1	27.8
%	
117.3	27.7
118	28.2
119.1	29
120	29.5
120.8	30
%	
117.6	28
118.8	29
120	30
121.3	30.9
%	
112.3	23.3
113.1	24
114.9	25
%	
114	24.9
115.2	25.6
%	
114.5	25.4
115.1	26
116.1	27
116.6	27.6
%	
116.6	28.7
118	29.4
%	
114.4	28.5
115.5	29
116	29.7
%	
116.4	29.6
117	30
118	30.6
118.8	31
119.4	32
120	32.8
120.9	33.1
%	
114	28.3
115.2	29.2
%	
112	27.7
114	29.5
%	
88	31.3
91.2	32.1
%	
88	31.4
92.8	32.8
%	
91.3	31.9
93.5	31.5
%	
91.1	31.1
92.5	31.5
%	
86.5	32
90.7	33.3
%	
85	31.8
88.3	32.9
%	
86.7	33
88.3	33.6
%	
86.7	33.6
87.7	33.8
%	
88.3	34.4
89.2	34.7
%	
89.6	34.8
90.7	35.25
%	
86.7	34.85
89.1	35.1
%	
89.1	34.95
90	35.1
%	
89.8	35.5
91	35.7
%	
87.4	35.5
88.8	35.7
%	
93.55	35
94.8	34.7
%	
93.7	34.25
94.85	33.85
%	
90.65	33.35
93.25	34.3
%	
89.7	34.1
91.9	34.6
%	
92.5	32.1
94.7	31.4
%	
