# Ocean tidal loading corrections for the center-of-mass motion
# From the web page of Hans-Georg Scherneck at Onsala Space Observatory
# (http://holt.oso.chalmers.se/loading/CMC/)
# Z X Y in-phase and cross-phase coefficients for 11 tidal components in meters
# Values to be ADDED to the joint center of mass to put the tides into a solid-Earth fixed frame
# Read by subroutine /gamit/lib/otl_cmc.f
# Format: (a3,6x,a8,t42,3(2x,2e12.4))
#
# The following ocean loading (OL) models are used by the respective
# analysis centers for their original and operational submissions:
# com: FES2004 
# emr: FES2004 
# esa: FES2004 
# gfz: NONE, FES2004 
# grg: ------, FES2004, FES2012 
# igr: FES2004 
# igs: FES2004 
# jpl: FES2002, FES2004, GOT4.8AC
# mit: FES2004, FES2004E
# ngs: FES2004 
# qzf: FES2004 
# sio: FES2004 
# tum: FES2004 
# wum: FES2004 
#
# The following ocean loading (OL) models are used for repro1:
# co1: FES2004 
# em1: FES2004 
# es1: FES2004 
# gf1: FES2004 
# jp1: FES2004 
# mi1: FES2004 
# ng1: FES2004 
# si1: FES2004
# ul1: FES2004 
# ig1: FES2004 
#
# The following ocean loading (OL) models are used for repro2:
# em2: FES2004 
# es2: FES2004 
# gf2: FES2004 
# gr2: FES2012 
# gt2: FES2004 
# jp2: GOT4.8AC
# mi2: FES2004E
# si2: FES2004 
# ul2: FES2004 
# ig2: NONE, FES2004 
#
#                                            in-phase Z  out-Z           in-X       out-X          in-Y       out-Y 
MODEL AG06
Mf   NCDF_CSR3.0_f                          -4.1085E-04 -9.7309E-06   -9.4686E-05  4.1078E-04   -1.2121E-04  9.2463E-05
Mm   NCDF_CSR3.0_f                          -2.4701E-04  1.4906E-05   -5.2165E-05  1.0967E-04   -9.9642E-06  3.0009E-06
Ssa  NCDF_CSR3.0_f                          -1.5858E-04  6.2442E-07    2.2786E-04  3.4451E-05   -2.4901E-05  1.0291E-06
MODEL CSR4.0
M2   NCDF_CSR4.0_f                          -1.2057E-03 -1.5622E-03   -1.2770E-03  8.9179E-04    1.1261E-03  9.5623E-05
S2   NCDF_CSR4.0_f                          -3.4691E-04 -6.1671E-04   -7.9892E-04 -1.6769E-04    1.3265E-05  4.2103E-04
N2   NCDF_CSR4.0_f                          -3.6731E-04 -2.4039E-04   -2.2947E-04  2.3629E-04    2.3958E-04 -7.3990E-05
K2   NCDF_CSR4.0_f                          -9.6339E-05 -1.5972E-04   -2.2364E-04 -5.9945E-05   -1.2048E-05  1.2083E-04
K1   NCDF_CSR4.0_f                          -1.2494E-03  4.5502E-03   -1.9786E-03 -1.0379E-03   -9.2832E-04 -1.7206E-03
O1   NCDF_CSR4.0_f                          -3.2458E-04  2.8817E-03   -1.1919E-03 -2.1220E-04   -9.2985E-04 -7.2947E-04
P1   NCDF_CSR4.0_f                          -3.6021E-04  1.4826E-03   -6.5751E-04 -3.1036E-04   -3.1176E-04 -5.6200E-04
Q1   NCDF_CSR4.0_f                          -1.5467E-04  5.8453E-04   -1.7167E-04 -6.8065E-05   -2.1567E-04 -6.4025E-05
Mf   NCDF_CSR4.0_f                          -4.1085E-04 -9.7309E-06   -9.4686E-05  4.1078E-04   -1.2121E-04  9.2463E-05
Mm   NCDF_CSR4.0_f                          -2.4701E-04  1.4906E-05   -5.2165E-05  1.0967E-04   -9.9642E-06  3.0009E-06
Ssa  NCDF_CSR4.0_f                          -1.5858E-04  6.2442E-07    2.2786E-04  3.4451E-05   -2.4901E-05  1.0291E-06
MODEL CSR4.0_f
M2   NCDF_CSR4.0_f                          -1.2057E-03 -1.5622E-03   -1.2770E-03  8.9179E-04    1.1261E-03  9.5623E-05
S2   NCDF_CSR4.0_f                          -3.4691E-04 -6.1671E-04   -7.9892E-04 -1.6769E-04    1.3265E-05  4.2103E-04
N2   NCDF_CSR4.0_f                          -3.6731E-04 -2.4039E-04   -2.2947E-04  2.3629E-04    2.3958E-04 -7.3990E-05
K2   NCDF_CSR4.0_f                          -9.6339E-05 -1.5972E-04   -2.2364E-04 -5.9945E-05   -1.2048E-05  1.2083E-04
K1   NCDF_CSR4.0_f                          -1.2494E-03  4.5502E-03   -1.9786E-03 -1.0379E-03   -9.2832E-04 -1.7206E-03
O1   NCDF_CSR4.0_f                          -3.2458E-04  2.8817E-03   -1.1919E-03 -2.1220E-04   -9.2985E-04 -7.2947E-04
P1   NCDF_CSR4.0_f                          -3.6021E-04  1.4826E-03   -6.5751E-04 -3.1036E-04   -3.1176E-04 -5.6200E-04
Q1   NCDF_CSR4.0_f                          -1.5467E-04  5.8453E-04   -1.7167E-04 -6.8065E-05   -2.1567E-04 -6.4025E-05
Mf   NCDF_CSR4.0_f                          -4.1085E-04 -9.7309E-06   -9.4686E-05  4.1078E-04   -1.2121E-04  9.2463E-05
Mm   NCDF_CSR4.0_f                          -2.4701E-04  1.4906E-05   -5.2165E-05  1.0967E-04   -9.9642E-06  3.0009E-06
Ssa  NCDF_CSR4.0_f                          -1.5858E-04  6.2442E-07    2.2786E-04  3.4451E-05   -2.4901E-05  1.0291E-06
MODEL DTU10
M2   NCDF_DTU10                             -1.1327E-03 -1.5271E-03   -1.2140E-03  7.8389E-04    1.1254E-03  1.7623E-04
S2   NCDF_DTU10                             -1.9079E-04 -5.8938E-04   -6.5037E-04 -3.2453E-04   -7.3979E-05  3.0528E-04
N2   NCDF_DTU10                             -3.1301E-04 -2.7006E-04   -1.6889E-04  1.5887E-04    1.7856E-04 -1.3490E-04
K2   NCDF_DTU10                             -3.8116E-05 -1.1828E-04   -1.5986E-04 -1.1603E-04   -1.7855E-05  9.1985E-05
K1   NCDF_DTU10                             -9.9519E-04  4.3786E-03   -1.9813E-03 -9.2224E-04   -9.2863E-04 -1.7592E-03
O1   NCDF_DTU10                             -3.1829E-04  2.9618E-03   -1.2500E-03 -2.8311E-04   -9.5591E-04 -6.9880E-04
