# Table to help utils/upd_stnfo guess GAMIT receive, antenna, software codes from RINEX headers
 rcv Z-12              ASHZ12
 rcv L-XII             ASHL12 
 rcv LM-XII            ASHM12   
 rcv LM-XII3           ASHM12
 rcv ASHTECH^Z-XII     ASHZ12
 rcv Z-XII3            ASHZ12   
 rcv ASHTECH^UZ-12     ATUZ12
 rcv ASHTECH^Z18       ATZ_18       
 rcv ASHTECH^GG24C     ATG24C   
 rcv ASHTECH^LCS-XII   ATLCS1   
 rcv ASHTECH^G-XII     ATG_12   
 rcv ASHTECH^MICROZ    ATMCRZ   
 rcv ASHTECH^Z-XII3T   ATZ12T   
 rcv ASHTECH^Z-XII3GETT ATZ12G   
 rcv THALES^Z-MAX      THAZMX 
 rcv ASHTECH^Z-X       ATZXTR             
 rcv ProFlex500        ATPF50 
 rcv ProFlex800        ATPF80 
 swv 5F       1.00
 swv 6A6A     1.00
 swv 6A       1.00
 swv 6F       1.00
 swv 7A       1.00
 swv WN       1.00
 swv 6G6G     1.00
 swv 6M6M     1.00
 swv 6M       1.00
 swv 7A       1.00
 swv 7A247A24  1.00 
 swv 6CM3     6.00
 swv 6CM7     6.00 
 swv 6G       6.00
 swv 6GP4     6.00
 swv 6IP4     6.00
 swv 7A       7.00  
 swv NP^7.12  7.12
 swv NP^7.15  7.15  
 swv 1C00     8.00 
 swv 1E82     8.0
 swv 1C01     8.01
 swv 1D00     8.10
 swv 1E00     8.20   
 swv 4J30     8.20  
 swv 1E24     8.22 
 swv 1E76     8.23 
 swv 1E8D     8.24 
 swv 1E95     8.25  
 swv 1F00     8.30 
 swv 1F371    8.3
 swv 1F39     8.32 
 swv 1F50     8.35 
 swv 1F60     8.36 
 swv 1G00     8.40 
 swv 1H00     8.50
 swv 1J00     8.70   
 swv 4J00     8.74   
 swv 4J001C6  8.74 
 swv 1L00     8.85
 swv 1SWE1D0  8.86  
 swv 1L01     8.87 
 swv CB00     9.00
 swv CC00     9.10   
 swv CD00     9.20  
 swv RC00     9.40 -- YB 10/15/99
 swv RC05     9.45 -- YB 10/15/99
 swv RD00     9.50 -- YB 10/15/99
 swv UB00     9.70 -- YB
 swv UC00     9.71 -- YB 10/15/99
 swv UD00     9.72 -- YB 10/15/99
 swv UE00     9.73 -- YB 10/15/99
 swv UF00     9.74 
 swv V6400    9.80
 swv 0064     9.80  
 swv V6500    9.81
 swv 0065     9.81   
 swv IL01-1D04 9.90 
 swv CJ50     9.91  
 swv ZC00     9.92  
 swv CJ00     9.93
 swv CN00     9.94
 swv ZE00     9.95 
 swv ZE21     9.96    
 swv ZB00     9.97
 swv CK00     9.98
 swv CQ00     9.99  
 ant ASHMAR/RANGE     ASHMAR          
 ant ASH700700.A      ATMR2A          
 ant 700700A          ATMR2A          
 ant ASH700700.B      ATMR2B
 ant 700700B          ATMR2B          
 ant ASH700700.C      ATMR2C
 ant 700700C          ATMR2C          
 ant ASH700228A       ASHL12 
 ant GEODETIC^L       ASHL12  
 ant MICROSTRIP       ASHL12 
 ant LM-XII           ASHL12
 ant ASH700228A+EX    ASHLEX   
 ant GEOD^L^EXT       ASHLEX  
 ant ASH700228B       ATGEOB          
 ant ASH700228C       ATGEOC          
 ant ASH700228D       ASHP12          
 ant ASH700228E       ATGEOE          
 ant ASH700718A       ASHGD3 
 ant GEODETIC^III     ASHGD3
 ant ASHGD3           ASHGD3          
 ant ASH700718A1      ASHGDA          
 ant ASH700718B       ATGE3B  
 ant 700818           ATGE3B        
 ant ASH700829.2      ASHG3R 
 ant ^3^USCG          ASHG3R          
 ant ASH700829.3      ATGE33          
 ant ASH700829.A      ATGE3A          
 ant ASH700829.A1     ATGEA1          
 ant ASH701008.01B    ATIIIA          
 ant ASH700936A_M     ASHDMG 
 ant ASHTECH-DORNE    ASHDMG    
 ant MARGOLIN^ASH     ASHDMG         
 ant ASH700936A_M     ASHDMR          
 ant ASH700936B_M     ATDMCB          
 ant ASH700936C_M     ATDMCC          
 ant ASH700936D_M     ATDMCD          
 ant ASH700936E       ATDMCE          
 ant ATDMCE           ATDMCE
 ant ASH700936E_C     ASHDMC          
 ant ASH700936E_C     ASHDMD          
 ant ASH700936F_C     ATDMCF          
 ant ASH701933B_M     ATDMRC          
 ant ASH701073.1      ASHGG1          
 ant ASH701073.3      ASHGG3          
 ant ASH701941.1      ATGGD1          
 ant ASH701941.2      ATGGD2          
 ant ASH701941.A      ATGGDA          
 ant ASH701941.B      ATGGDB          
 ant ASH701945A_M     ATDMRA          
 ant ASH701945B_M     ATDMRB          
 ant ASH701945.02B    ATDMR2          
 ant ASH701945C_M     ATDM1C     
 ant ASH701945E_M     ATDM1E 
 ant ASH701945G_M     ATDM1G     
 ant ASH701946.2      ATDMG2          
 ant ASH701946.3      ATDMG3          
 ant ASH701975.01A    ATGD4A          
 ant ASH701975.01Agp  ATGP4A     
 ant ASH701975.01B    ATGD4B 
 ant ASH701975.01Bgp  ATGP4B 
 ant ASH110454        ATPROM 
 ant THA_ZMAX+RCVR    THAZMX   
 ant THA800961+REC    THAZMX 
 ant THA800961+REC    THAZMX 
 ant THA800961+RTK    THAZRT 
 ant THA800961RECUHF  THAZMU 
 ant THA800961RTKUHF  THARTU 
 ant ASH700699.L1     AT699B 
                                                      
# Rogue codes                      
 rcv SNR-8^    ROG__8              
 rcv SNR-800   ROGSNR              
 rcv SNR-8A    ROG_8A              
 rcv SNR-8C    ROG_8C              
 rcv SNR-8000  TR8000  
 rcv SNR-8000^ACT AO800A 
 rcv SNR-8100^ACT AO810A    
 rcv TURBOROGUE TR8000             
